,EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,2,37,Yes,Travel_Rarely,1141,Research & Development,11,College,Medical,Low,Female,61,Low,2,Healthcare Representative,Medium,Married,4777,14382,5,No,15,Excellent,Low,0,15,2,Low,1,0,0,0
2,3,51,Yes,Travel_Rarely,1323,Research & Development,4,Master,Life Sciences,Low,Male,34,High,1,Research Scientist,High,Married,2461,10332,9,Yes,12,Excellent,High,3,18,2,Outstanding,10,0,2,7
3,4,42,No,Travel_Frequently,555,Sales,26,Bachelor,Marketing,High,Female,77,High,4,Sales Executive,Medium,Married,13525,14864,5,No,14,Excellent,Very High,1,23,2,Outstanding,20,4,4,8
6,7,40,No,Travel_Rarely,1124,Sales,1,College,Medical,Medium,Male,57,Low,2,Sales Executive,Very High,Married,7457,13273,2,Yes,22,Outstanding,High,3,6,2,Good,4,3,0,2
7,8,55,Yes,Travel_Rarely,725,Research & Development,2,Bachelor,Medical,Very High,Male,78,High,5,Manager,Low,Married,19859,21199,5,Yes,13,Excellent,Very High,1,24,2,Excellent,5,2,1,4
8,9,36,No,Travel_Frequently,635,Research & Development,18,Below College,Medical,Medium,Female,73,High,1,Laboratory Technician,Very High,Single,2153,7703,1,No,13,Excellent,Low,0,8,2,Excellent,8,1,1,7
9,10,32,No,Travel_Rarely,1018,Research & Development,3,College,Life Sciences,High,Female,39,High,3,Research Director,Very High,Single,11159,19373,3,No,15,Excellent,Very High,0,10,6,Excellent,7,7,7,7
10,11,25,No,Travel_Rarely,583,Sales,4,Below College,Marketing,High,Male,87,Medium,2,Sales Executive,Low,Married,4256,18154,1,No,12,Excellent,Low,0,5,1,Outstanding,5,2,0,3
11,12,20,Yes,Travel_Rarely,129,Research & Development,4,Bachelor,Technical Degree,Low,Male,84,High,1,Laboratory Technician,Low,Single,2973,13008,1,No,19,Excellent,Medium,0,1,2,Excellent,1,0,0,0
13,14,42,No,Travel_Rarely,810,Research & Development,23,Doctor,Life Sciences,Low,Female,44,High,4,Research Director,Very High,Single,15992,15901,2,No,14,Excellent,Medium,0,16,2,Excellent,1,0,0,0
14,15,31,No,Travel_Rarely,616,Research & Development,12,Bachelor,Medical,Very High,Female,41,High,2,Healthcare Representative,Very High,Married,5855,17369,0,Yes,11,Excellent,High,2,10,2,Low,9,7,8,5
15,16,38,No,Non-Travel,573,Research & Development,6,Bachelor,Medical,Medium,Female,79,Low,2,Research Scientist,Very High,Divorced,5329,15717,7,Yes,12,Excellent,Very High,3,17,3,Excellent,13,11,1,9
16,17,39,No,Travel_Rarely,408,Research & Development,2,Master,Technical Degree,Very High,Female,80,Medium,2,Healthcare Representative,High,Single,4553,20978,1,No,11,Excellent,Low,0,20,4,Excellent,20,7,11,10
17,18,54,No,Travel_Rarely,821,Research & Development,5,College,Medical,Low,Male,86,High,5,Research Director,Low,Married,19406,8509,4,No,11,Excellent,High,1,24,4,Good,4,2,1,2
19,20,49,No,Travel_Rarely,1098,Research & Development,4,College,Medical,Low,Male,85,Medium,5,Manager,High,Married,18711,12124,2,No,13,Excellent,High,1,23,2,Outstanding,1,0,0,0
20,21,24,No,Travel_Rarely,691,Research & Development,23,Bachelor,Medical,Medium,Male,89,Very High,1,Research Scientist,Very High,Married,2725,21630,1,Yes,11,Excellent,Medium,2,6,3,Excellent,6,5,1,4
21,22,40,No,Travel_Rarely,302,Research & Development,6,Bachelor,Life Sciences,Medium,Female,75,High,4,Manufacturing Director,High,Single,13237,20364,7,No,15,Excellent,High,0,22,3,Excellent,20,6,5,13
22,23,41,No,Non-Travel,267,Sales,10,College,Life Sciences,Very High,Male,56,High,2,Sales Executive,Very High,Single,6230,13430,7,No,14,Excellent,Very High,0,16,3,Excellent,14,3,1,10
23,24,32,No,Travel_Rarely,588,Sales,8,College,Technical Degree,High,Female,65,Medium,2,Sales Executive,Medium,Married,5228,24624,1,Yes,11,Excellent,Very High,0,13,2,Excellent,13,12,11,9
24,25,24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,Medium,Male,61,High,1,Research Scientist,Very High,Married,2293,3020,2,Yes,16,Excellent,Low,1,6,2,Good,2,0,2,0
27,28,39,No,Travel_Rarely,412,Research & Development,13,Master,Medical,High,Female,94,Medium,4,Manager,Medium,Divorced,17123,17334,6,Yes,13,Excellent,Very High,2,21,4,Excellent,19,9,15,2
28,29,59,No,Travel_Rarely,818,Human Resources,6,College,Medical,Medium,Male,52,High,1,Human Resources,High,Married,2267,25657,8,No,17,Excellent,Very High,0,7,2,Good,2,2,2,2
30,31,36,No,Travel_Rarely,1425,Research & Development,14,Below College,Life Sciences,High,Male,68,High,2,Healthcare Representative,Very High,Married,6586,4821,0,Yes,17,Excellent,Low,1,17,2,Good,16,8,4,11
31,32,30,No,Travel_Rarely,853,Research & Development,7,Master,Life Sciences,High,Male,49,High,2,Laboratory Technician,High,Divorced,3491,11309,1,No,13,Excellent,Low,3,10,4,Good,10,7,8,9
32,33,38,No,Travel_Rarely,433,Human Resources,1,Bachelor,Human Resources,High,Male,37,Very High,1,Human Resources,High,Married,2844,6004,1,No,13,Excellent,Very High,1,7,2,Outstanding,7,6,5,0
33,34,28,Yes,Travel_Frequently,1496,Sales,1,Bachelor,Technical Degree,Low,Male,92,High,1,Sales Representative,High,Married,2909,15747,3,No,15,Excellent,Very High,1,5,3,Outstanding,3,2,1,2
34,35,31,No,Travel_Rarely,192,Research & Development,2,Master,Life Sciences,High,Male,32,High,1,Research Scientist,Very High,Divorced,2695,7747,0,Yes,18,Excellent,Medium,1,3,2,Low,2,2,2,2
35,36,36,No,Non-Travel,845,Sales,1,Doctor,Medical,Very High,Female,45,High,2,Sales Executive,Very High,Single,6653,15276,4,No,15,Excellent,Medium,0,7,6,Excellent,1,0,0,0
36,37,32,No,Travel_Rarely,427,Research & Development,1,Bachelor,Medical,Low,Male,33,High,2,Manufacturing Director,Very High,Married,6162,10877,1,Yes,22,Outstanding,Medium,1,9,3,Excellent,9,8,7,8
38,39,28,No,Non-Travel,120,Sales,4,Bachelor,Medical,Medium,Male,43,High,2,Sales Executive,High,Married,4221,8863,1,No,15,Excellent,Medium,0,5,3,Outstanding,5,4,0,4
39,40,31,Yes,Travel_Rarely,249,Sales,6,Master,Life Sciences,Medium,Male,76,Low,2,Sales Executive,High,Married,6172,20739,4,Yes,18,Excellent,Medium,0,12,3,Good,7,7,7,7
40,41,50,No,Travel_Rarely,316,Sales,8,Master,Marketing,Very High,Male,54,High,1,Sales Representative,Medium,Married,3875,9983,7,No,15,Excellent,Very High,1,4,2,Excellent,2,2,2,2
